"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.00033858
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000287625
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000267368
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000265599
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000258736
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000258247
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000250043
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.00020007
"pathway","PWY-4984: urea cycle",0.000170734
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000142097
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000134363
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.00012731
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000126553
"pathway","PWY-6803: phosphatidylcholine acyl editing",9.75811e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",9.68515e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",7.74471e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",6.30932e-05
"pathway","PWY-5180: toluene degradation I (aerobic) (via o-cresol)",5.2348e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",3.02378e-05
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.90704e-05
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.90704e-05
"pathway","PWY0-1221: putrescine degradation II",1.15454e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",9.72774e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",9.08289e-06
"pathway","PWY-6562: norspermidine biosynthesis",6.78589e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",4.41464e-06
"pathway","CARNMET-PWY: L-carnitine degradation I",3.56843e-06
"pathway","TYRFUMCAT-PWY: L-tyrosine degradation I",2.97175e-07
"pathway","PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",3.74093e-08
