"feature","ERR11868986_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000417446
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000406208
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000365138
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000356729
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000330888
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000310661
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000288323
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000234698
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.00021556
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.000171852
"PWY-6305: superpathway of putrescine biosynthesis",0.000160376
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000156777
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000150943
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000149386
"ORNDEG-PWY: superpathway of ornithine degradation",0.000126968
"PWY-6803: phosphatidylcholine acyl editing",9.56762e-05
"AST-PWY: L-arginine degradation II (AST pathway)",5.75912e-05
"PWY-4984: urea cycle",5.50378e-05
"CARNMET-PWY: L-carnitine degradation I",1.70275e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",4.12902e-06
