"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.0003176
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000264316
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000262466
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000255771
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000255187
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000232875
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000220339
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000219158
"pathway","PWY-6803: phosphatidylcholine acyl editing",0.000147112
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000144232
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000128809
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.000100369
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",9.90784e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",6.27347e-05
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",5.92335e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",5.19345e-05
"pathway","PWY-4984: urea cycle",3.5476e-05
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",3.02711e-05
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",3.02711e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",2.31359e-05
"pathway","PWY0-1221: putrescine degradation II",1.32044e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",3.94596e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",2.2553e-06
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.53154e-06
