"tipo","funcion","abundancia"
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000433793
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000432228
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000430792
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000429212
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000395229
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000385321
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000369568
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.00035386
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000160091
"pathway","PWY-4984: urea cycle",0.00012719
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.00012116
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",9.29981e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",8.22639e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",5.21265e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",3.80881e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",3.19325e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",3.17853e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",2.95383e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",1.43546e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",4.70109e-06
"pathway","CARNMET-PWY: L-carnitine degradation I",1.93586e-06
"pathway","PWY0-1221: putrescine degradation II",1.38251e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",2.05024e-07
