"feature","ERR11869091_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000656702
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000649261
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000620778
"TRPSYN-PWY: L-tryptophan biosynthesis",0.00057505
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000547626
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000195533
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000174937
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000171624
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000112426
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000104079
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",8.66877e-05
"PWY-4984: urea cycle",7.18155e-05
"PWY-6305: superpathway of putrescine biosynthesis",4.07203e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",9.22174e-06
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",4.72938e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",4.37013e-06
