"feature","ERR11869182_humann_input_Abundance"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000491451
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000487193
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.00045245
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000376105
"PWY-4984: urea cycle",0.000349866
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000337098
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000250338
"PWY-6305: superpathway of putrescine biosynthesis",0.000165335
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000140235
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000114404
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000100511
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",5.43107e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",5.1169e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",4.30269e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",2.69974e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",6.59456e-06
