"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000391134
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000366998
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000254159
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000235595
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000210388
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000208501
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000190441
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000181986
"pathway","PWY-4984: urea cycle",0.000173584
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000170282
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.00011952
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000114633
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",9.17036e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",7.23668e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",5.87698e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",4.49807e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",3.13479e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",2.98903e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",1.75048e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.01402e-05
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",2.71497e-06
"pathway","PWY0-1221: putrescine degradation II",1.0643e-06
