"feature","ERR11869018_humann_input_Abundance"
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000551531
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000523664
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000411382
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000340974
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000303202
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000301202
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000292943
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000288074
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.0002343
"PWY-4984: urea cycle",0.000222397
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000190494
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000143345
"PWY-6305: superpathway of putrescine biosynthesis",6.74029e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",3.29228e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",1.74559e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.34083e-05
