"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000608988
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000578671
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000536819
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000533429
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000496103
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000426813
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.00021131
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000166557
"pathway","PWY-4984: urea cycle",0.000141228
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000139092
"pathway","PWY-6305: superpathway of putrescine biosynthesis",9.91714e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",9.79848e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",9.66525e-05
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",7.56239e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",5.43787e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",1.50921e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",1.46886e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",7.64858e-06
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",2.35306e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.94058e-06
"pathway","PWY0-1221: putrescine degradation II",1.00652e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",9.86868e-07
