"tipo","funcion","abundancia"
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.00041625
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000405218
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000400044
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000391884
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000388531
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000386039
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.00020048
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000188569
"pathway","PWY-4984: urea cycle",9.15241e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",6.61488e-05
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",6.36951e-05
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",6.13903e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",4.21388e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",3.52581e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",1.93746e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.79154e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",6.11376e-06
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",4.63153e-06
