"tipo","funcion","abundancia"
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000382
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.00038126
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000369215
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000328358
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000319108
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000302119
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000276175
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000233916
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000139414
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000111928
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",0.000102871
"pathway","PWY-4984: urea cycle",7.21859e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",5.16546e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",4.4297e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",2.37285e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.91016e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",1.04874e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",8.9161e-06
"pathway","PWY-5180: toluene degradation I (aerobic) (via o-cresol)",4.94417e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",3.44141e-06
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.84671e-06
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.84671e-06
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",1.7862e-06
