"feature","ERR11869428_humann_input_Abundance"
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000409248
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000377458
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000270425
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000264954
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000230926
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000225455
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000209254
"PWY-4984: urea cycle",0.000203644
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.00019724
"GLUTORN-PWY: L-ornithine biosynthesis I",0.00016669
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000160455
"PWY-6305: superpathway of putrescine biosynthesis",0.000117462
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",8.15589e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",5.51119e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",3.75852e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",2.97165e-05
"ORNDEG-PWY: superpathway of ornithine degradation",1.12703e-05
"PWY-6803: phosphatidylcholine acyl editing",1.00438e-05
"AST-PWY: L-arginine degradation II (AST pathway)",3.92273e-06
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",2.19331e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",2.16336e-06
"PWY0-1221: putrescine degradation II",9.21206e-07
